split_idx,best_val_acc,fold_dir
1,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_001
2,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_002
3,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_003
4,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_004
5,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_005
6,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_006
7,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_007
8,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_008
9,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_009
10,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_010
11,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_011
12,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_012
13,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_013
14,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_014
15,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_015
16,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_016
17,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_017
18,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_018
19,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_019
20,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_020
21,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_021
22,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_022
23,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_023
24,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_024
25,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_025
26,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_026
27,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_027
28,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_028
29,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_029
30,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_030
31,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_031
32,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_032
33,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_033
34,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_034
35,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_035
36,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_036
37,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_037
38,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_038
39,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_039
40,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_040
41,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_041
42,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_042
43,0.5,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_043
44,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_044
45,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_045
46,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_046
47,0.6,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_047
48,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_048
49,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_049
50,0.5555555555555556,/scratch/slurm_tmpdir/job_2071823/job_2071823/results/convnext_tiny_bfloat16_251107_1029/split_050
